smiles	RT
Cc1nc(c(c2ccccc2)nn1)O	306
c1c(cc(c(c1Br)O)Br)C#N	498
CC(C)c1ccc(cc1)N	312
Cc1nnc(c2ccccc2)c(=O)n1N	294
CCc1cccc(C)c1N1C(C)COCC1=O	492
CCN(CC)C(=O)SCc1ccccc1Cl	798
CCCN(CCC)C(=O)SCc1ccccc1	864
c1cc(c(C#N)c(c1)Cl)Cl	510
c1cc(c(c(c1)Cl)C(=N)O)Cl	240
CC(C1CC1)C(Cn1cncn1)(c1ccc(cc1)Cl)O	690
c1c(cc(c(c1I)O)I)C#N	558
c1ccc(cc1)n1c(=O)c(c(cn1)N)Cl	312
COC=C(c1ccccc1Oc1cc(ncn1)Oc1ccccc1C#N)C(=O)OC	594
CC(C)(C)c1c(=O)n(c(nn1)SC)N	414
CC(C)(C)c1c(=O)n(c(nn1)O)N	354
Cc1cccc(c1)N=C(O)Oc1cccc(c1)N=C(O)OC	570
c1ccc(c(c1)C1C(Cn2cncn2)(c2ccc(cc2)F)O1)Cl	702
CCCN(CCOc1c(cc(cc1Cl)Cl)Cl)C(=O)n1ccnc1	732
C[Si](Cn1cncn1)(c1ccc(cc1)F)c1ccc(cc1)F	744
CCc1cccc(CC)c1N(COC)C(=O)CS(=O)(=O)O	462
CCc1cccc(CC)c1N(COC)C(=O)C(=O)O	444
CCc1cccc(C)c1N(COCC)C(=O)C(=O)O	450
CCc1cccc(C)c1N(COCC)C(=O)CS(=O)(=O)O	462
CCc1cccc(C)c1N(COCC)C(=O)CCl	702
Cc1ccc(c(C)c1)N=CN(C)C=Nc1ccc(C)cc1C	924
CCN=C(N=C(C(=NOC)C#N)O)O	336
c1cc(cc(c1)Oc1c(cccn1)C(=O)Nc1ccc(cc1F)F)C(F)(F)F	864
CCOC1C(C)(C)c2cc(ccc2O1)OS(=O)(=O)C	600
CC1(C)c2cc(ccc2OC1=O)OS(=O)(=O)C	360
c1c(cnc(c1Cl)Nc1c(cc(c(c1N(=O)=O)Cl)C(F)(F)F)N(=O)=O)C(F)(F)F	954
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12	702
CC(=NOCCOC(=O)C(C)Oc1ccc(cc1)Oc1cnc2cc(ccc2n1)Cl)C	900
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O	990
Cc1nc(=NC(=NS(=O)(=O)c2ccsc2C(=O)OC)O)[nH]c(n1)OC	432
Cc1nc(=N)[nH]c(n1)OC	102
COC(=O)c1ccccc1S(=O)(=O)N	270
Cc1nc(=NC(=NS(=O)(=O)c2ccccc2C(=O)OC)O)[nH]c(n1)OC	426
