smiles	RT
c1cc(ccc1CCC(=O)c1c(cc(c(c1O)C1C(C(C(C(CO)O1)O)O)O)O)O)O	1879.2
c1cc(c(cc1c1c(c(=O)c2c(cc(cc2o1)O)O)OC1C(C(C(C(CO)O1)O)O)O)O)OC1C(C(C(C(CO)O1)O)O)O	1564.2
c1cc(c(cc1c1c(c(=O)c2c(cc(cc2o1)O)O)OC1C(C(C(C(C(=O)O)O1)O)O)O)O)O	1707
c1cc(c(cc1C1C(Cc2c(cc3c(C4c5c(cc(cc5OC(c5ccc(c(c5)O)O)(C4O)O3)O)O)c2O1)O)O)O)O	1512
COc1cc(c2c(c1)oc(c1ccc(c(c1)O)O)c(c2=O)O)O	2334
CC1C(C(C(C(O)O1)O)O)O	94.5
Cc1cc2c(cc1C)n(CC(C(C(CO)O)O)O)c1c(c(nc(=O)n1)O)n2	1434
c1cc(c(cc1C=CC(=O)OC(Cc1ccc(c(c1)O)O)C(=O)O)O)O	1798.5
COc1cc(c2C(=O)CC(c3ccc(cc3)O)Oc2c1)O	2339.1
c1ccc(c(c1)C(=O)O)O	1584
C=CC(C)(CCC1C2(C)CCCC(C)(C)C2CCC1(C)O)O	3006
COc1cc2ccc(=O)oc2cc1O	1474.8
c1cc2c(cc1O)c(CCN)c[nH]2	666
C1=C(CC(C(C1O)O)O)C(=O)O	137.4
COc1cc(C=CC(=O)O)cc(c1O)OC	1554
COc1cc(C=CCO)cc(c1O)OC	1416
COc1ccc(cc1OC)c1cc(=O)c2c(cc(c(c2OC)OC)OC)o1	2358
CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(C(C)(C)C5CCC34C)O)C2C1C)CO	98.4
CC=CC=CC(=O)O	1503.642
C(CCNCCCN)CNCCCN	58.8
C(C1C(C(C(C(OCC2C(C(C(C(OCC3C(C(C(C(O3)OC3(CO)C(C(C(CO)O3)O)O)O)O)O)O2)O)O)O)O1)O)O)O)O	144
C(CC(=O)O)C(=O)O	298.5
C(C1C(C(C(C(O1)OC1(CO)C(C(C(CO)O1)O)O)O)O)O)O	114
COc1cc(cc(c1O)OC)C=NN=Cc1cc(c(c(c1)OC)O)OC	2129.4
COc1cc(cc(c1O)OC)C=O	1410
COc1cc(cc(c1O)OC)c1c(c(=O)c2c(cc(cc2o1)O)O)O	2244
COc1cc(cc(c1O)OC)c1c(c(=O)c2c(cc(cc2o1)O)O)OC1C(C(C(C(CO)O1)O)O)O	1894.05
CC(CCC(=NCCS(=O)(=O)O)O)C1CCC2C3C(CC(C12C)O)C1(C)CCC(CC1CC3O)O	2538
CC(C)(C)c1cc(ccc1O)O	1830
Cn1cnc2c1c(nc(=O)n2C)O	918
Cn1c2c(c(=O)n(C)c1=O)nc[nH]2	1068
CC1=C(CCO)S[CH]N1Cc1cnc(C)[nH]c1=N	96
C(C(C(C(=O)O)O)O)O	87
CC(C)(C1CCC(C)(CC1)O)O	1674
C[n+]1cccc(c1)C(=O)[O-]	100.2
c1ccc2c(c1)c(CCO)c[nH]2	1572.9
c1cc(ccc1CCN)O	372
c1cc(ccc1CCO)O	1050
c1cc(cc2c1ccc(=O)o2)O	1434
c1cnc(nc1O)O	178.5
c12c([nH]c(n2)O)nc(nc1O)O	97.2
c1cn(C2C(C(C(CO)O2)O)O)c(=O)nc1O	420.3
CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(C(C)(C)C5CCC34C)O)C2C1C)C(=O)O	3216
COc1cc(ccc1O)C(=O)O	1218
COc1cc(ccc1O)C=O	1290.3
CC(C)CCCC(C)CCCC(C)CCCC(=CCC1=C(C)C(=O)c2ccccc2C1=O)C	3462
c1nc2c([nH]1)nc(nc2O)O	360.9
C1C(C(C(C(O)O1)O)O)O	84
C(C(C(CO)O)O)O	84.6
c1cc(c(cc1C=O)O)O	972
C(=C(CC(=O)O)C(=O)O)C(=O)O	264
C(C(=O)O)O	138
C(=O)C(=O)O	78
CCCCCCCCCCCCCCCCCCCCCCCC(=O)O	3612
C(=O)(C(=O)O)O	78
c1ccc(cc1)OC1C(C(C(C(CO)O1)O)O)O	984
CC(CCC(=NCCOS(=O)(=O)O)O)C1CCC2C3C(CCC12C)C1(C)CCC(CC1CC3O)O	2736
c1cc(c(cc1C1C(Cc2c(cc(cc2O1)O)O)O)O)O	1227.9
c1cc(c(cc1C1C(Cc2c(cc(cc2O1)O)O)OC(=O)c1cc(c(c(c1)O)O)O)O)O	1483.2
c1c(cc(c(c1O)O)O)C1C(Cc2c(cc(cc2O1)O)O)O	990.3
c1c(cc(c(c1O)O)O)C1C(Cc2c(cc(cc2O1)O)O)OC(=O)c1cc(c(c(c1)O)O)O	1337.55
c1c(cc(cc1O)O)C(=O)O	858
c1cc(ccc1C(=O)O)O	1048.8
C(=Cc1cc(cc(c1)OC1C(C(C(C(CO)O1)O)O)O)O)c1ccc(c(c1)O)O	1362
c1cc(c(cc1C1CC(=O)Oc2cc(c3CC(C(c4ccc(c(c4)O)O)Oc3c12)O)O)O)O	1565.4
c1cc(c(cc1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O	930
C(=Cc1cc(cc2c1C(c1cc(cc(c1)O)O)C(c1ccc(cc1)O)O2)O)c1ccc(cc1)O	2007.6
C(=Cc1cc(cc(c1)OC1C(C(C(C(CO)O1)O)O)O)O)c1ccc(cc1)O	1635
C(=Cc1cc(cc(c1)O)O)c1ccc(cc1)O	1821
c1c2c3c4c(cc(c(c4oc2=O)O)O)c(=O)oc3c(c1O)O	1812
