SMILES	RT
CC(=CCc1c(cc(c2c1O[C@@H](CC2=O)c3ccc(cc3)O)O)O)C	952.8
c1cc2cc3cccc(c3c(c2c(c1)O)O)O	819
c1ccc(cc1)c2cc(=O)c3c(cc(cc3o2)O)O	835.2
c1cc(c(cc1[C@@H]2[C@H](Cc3c(cc(cc3O2)O)O)O)O)O	123
c1ccc(cc1)c2cc(=O)c3cc(ccc3o2)O	749.932
c1ccc(cc1)c2c(c(=O)c3ccccc3o2)O	992.4
c1cc(ccc1[C@@H]2CC(=O)c3c(cc(cc3O2)O)O)O	555
c1ccc2c(c1)c(=O)cc(o2)c3ccc(cc3)O	652.2
c1cc(ccc1c2cc(=O)c3ccc(cc3o2)O)O	430.725
c1cc(ccc1c2coc3cc(ccc3c2=O)O)O	449.4
c1cc(c(cc1[C@@H]2[C@H](C(=O)c3c(cc(cc3O2)O)O)O)O)O	269.126
c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)O)O	580.837
c1cc2c(cc1c3coc4cc(ccc4c3=O)O)OCO2	684.6
COc1cc(c2c(c1)occ(c2=O)c3ccc(cc3)O)O	871.2
c1cc(ccc1c2coc3cc(cc(c3c2=O)O)O)O	563.4
c1cc(ccc1c2coc3cc(cc(c3c2=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O	324
c1cc(ccc1/C=C/c2cc(cc(c2)O)O)O	386.4
CC(=O)c1cc(c(c(c1)OC)O)OC	287.4
c1ccc(c(c1)C(=O)O)N	203.4
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)Oc3c(=O)c4c(cc(cc4oc3c5ccc(c(c5)O)O)O)O)O)O)O)O)O)O	295.2
CC(=CCc1c(c(c2c(c1O)C(=O)C[C@H](O2)c3ccc(cc3)O)CC=C(C)C)O)C	1440.6
CC(=CCc1c(cc2c(c1O)C(=O)CC(O2)c3ccc(cc3)O)O)C	1120.8
CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O	1495.2
CC(C)CC(=O)C1=C(C(=C([C@@](C1=O)(CC=C(C)C)O)O)CC=C(C)C)O	1575.6
c1cc(c(cc1c2cc(=O)c3c(cc(cc3o2)O)O)O)O	490.8
c1ccc(cc1)c2cc(=O)c3c(cccc3o2)O	1090.58
CC(=O)c1ccc(cc1O)O	298.8
c1cc(c(cc1O)C(=O)O)O	107.4
CC(=O)c1c(cccc1O)O	372.6
c1ccc2c(c1)c(=O)cc(o2)c3ccccc3O	760.8
Cc1cc(=O)oc2c1ccc(c2)O	345.6
COc1ccc(c(c1)C(=O)O)O	321.6
CC(=CCc1c(cc(c(c1O)C(=O)/C=C/c2ccc(cc2)O)O)O)C	1126.2
CC(=CCc1c(cc(c(c1O)C(=O)/C=C/c2ccc(cc2)O)OC)O)C	1230.6
COc1cc(ccc1O)C(=O)O	154.8
c1ccc(c(c1)C(=O)O)O	297
CC(C)CC(=O)C1=C(C(C(=O)C(=C1O)CC=C(C)C)(CC=C(C)C)CC=C(C)C)O	1878
c1ccc(cc1)CCC(=O)O	470.4
C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@H]([C@]5(C)C(=O)O)O)C)C)[C@@H]1CC(CC2)(C)C)C	1946.4
C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CCC5[C@@]4(CC(C(C5(C)CO)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O	1143
C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@H]([C@]5(C)CO)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O	1134
C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O	1693.8
C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C(=O)O	1449
COc1ccc(cc1O)c2cc(=O)c3c(cc(cc3o2)O)O	634.2
C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5(C)C)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O	1407
C[C@H]1[C@@H]([C@@H]2[C@@](CC[C@@]3(C2=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@H]([C@]5(C)C)O)O)C)C)C)(CC1)C(=O)O)C	1355.4
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)Oc2c(=O)c3c(cc(cc3oc2c4ccc(c(c4)O)O)O)O)O)O)O	366.6
CC(C)CC(=O)C1=C(C(C(C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O	398.4
CC(=CCc1c(cc(c2c1OC(CC2=O)c3ccc(cc3)O)OC)O)C	823.8
CC(=CCc1c(cc(c2c1OC(CC2=O)c3ccc(cc3)O)OC)O)C	1495.2
COc1ccc(cc1)c2c(c(=O)c3c(cc(cc3o2)O)O)O	882.6
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)O)O)O)O)O)O	384.6
c1cc(ccc1/C=C/C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)Oc3c(=O)c4c(cc(cc4oc3c5ccc(cc5)O)O)O)O)O)O)O	546
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)O	288
C[C@]12CC[C@@H]([C@@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)CO)O	1343.4
COc1ccc(cc1)c2cc(=O)c3ccc(cc3o2)O	694.2
c1ccc(cc1)c2cc(=O)c3c(o2)cc(c(c3O)O)O	685.8
c1cc2c(cc1O)oc3c2c(=O)oc4c3ccc(c4)O	580.2
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)Oc3cc(c4c(=O)cc(oc4c3)c5ccc(c(c5)O)OC)O)O)O)O)O)O)O	427.8
c1cc(ccc1/C=C/C(=O)c2ccc(cc2O)O)O	670.2
c1cc(c(cc1c2cc(=O)c3c(cc(cc3o2)O)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O	375.6
c1cc(c(cc1C=O)O)O	65.4
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2Oc3cc(c4c(=O)cc(oc4c3)c5ccc(cc5)O)O)CO)O)O)O)O)O	403.8
COc1cc2ccc(=O)oc2cc1O	263.4
c1c(cc(c(c1O)O)O)c2cc(=O)c3c(cc(cc3o2)O)O	390
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)Oc3c(=O)c4c(cc(cc4oc3c5ccc(cc5)O)O)O)O)O)O)O)O)O	351.6
c1cc(ccc1c2coc3cc(c(cc3c2=O)O)O)O	392.4
Cc1cc(c2c(c1)c(cc(=O)o2)O)C	669
COc1c(cc2c(c1O)c(=O)cc(o2)c3ccc(c(c3)O)O)O	528
c1cc2c(=O)cc(oc2cc1O)c3cc(c(c(c3)O)O)O	276
COc1ccc(cc1)c2c(c(=O)c3ccc(cc3o2)OC)O	1035
c1cc(ccc1c2cc(=O)c3c(cc(c(c3o2)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O	297
c1cc(c(cc1c2c(c(=O)c3c(cc(cc3o2)O)O)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O	375
COc1ccc(cc1)c2coc3cc(cc(c3c2=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O	613.8
c1cc(ccc1c2coc3c(c2=O)ccc(c3[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O	188.4
c1cc(c(cc1O)O)c2c(c(=O)c3c(cc(cc3o2)O)O)O	414
COc1cc(ccc1O)c2cc(=O)c3c(cc(cc3o2)O)O	624.6
c1cc2c(cc1O)O[C@@H]3[C@H]2COc4c3ccc(c4)O	493.8
c1cc(c(cc1c2c(c(=O)c3ccc(cc3o2)O)O)O)O	381.6
COc1ccc(cc1)c2coc3cc(ccc3c2=O)O	720
c1cc(ccc1c2c(c(=O)c3c(cc(cc3o2)O)O)O)O	588.6
c1cc(ccc1[C@@H]2CC(=O)c3ccc(cc3O2)O)O	445.8
c1cc(ccc1[C@@H]2CC(=O)c3c(cc(cc3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O	375
c1cc(c(cc1c2cc(=O)c3c(cc(c(c3o2)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)O	254.4
c1c(cc(c(c1O)O)O)c2c(c(=O)c3c(cc(cc3o2)O)O)O	364.2
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2Oc3cc(c4c(c3)O[C@@H](CC4=O)c5ccc(cc5)O)O)CO)O)O)O)O)O	393.6
c1cc(c(cc1c2c(c(=O)c3c(cc(cc3o2)O)O)O)O)O	483.6
c1cc(cc2c1ccc(=O)o2)O	236.4
COc1ccccc1c2cc(=O)c3ccc(cc3o2)O	713.4
c1cc(c(cc1[C@@H]2[C@@H](Cc3c(cc(cc3O2)O)O)O)O)O	175.2
c1cc2c(cc1O)oc(c(c2=O)O)c3cc(c(c(c3)O)O)O	279
COC1=CC=C(C=C1)C2=COC3=CC(=C(C=C3C2=O)OC)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O	505.8
c1cc(c(cc1c2c(c(=O)c3cc(ccc3o2)O)O)O)O	406.8
c1cc(c(c(c1)O)O)c2c(c(=O)c3cc(ccc3o2)O)O	475.2
COc1ccc2c(=O)cc(oc2c1)c3ccc(cc3)O	688.8
CC(=CCc1c(ccc2c1O[C@@H](CC2=O)c3ccc(cc3)O)O)C	878.4
c1cc(c(cc1[C@@H]2CC(=O)c3c(cc(cc3O2)O)O)O)O	456.6
COc1ccc(cc1O)[C@@H]2CC(=O)c3c(cc(cc3O2)O)O	623.4
c1cc(ccc1c2c(c(=O)c3c(cc(cc3o2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O	362.4
COc1ccc(cc1)c2coc3cc(ccc3c2=O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O	489
COc1ccccc1c2cc(=O)c3c(cc(cc3o2)O)O	871.2
COc1ccc(cc1)C2CC(=O)c3c(cc(cc3O2)OC)O	1120.2
COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C(=C3)OC)OC)OC)O	1108.2
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2Oc3cc(c4c(c3)O[C@@H](CC4=O)c5ccc(c(c5)O)O)O)CO)O)O)O)O)O	330.6
Cc1c(c(c2c(c1O)C(=O)CC(O2)c3ccc(cc3)O)C)O	795.6
COc1cccc(c1c2cc(=O)c3c(o2)ccc(c3O)OC)OC	1012.8
c1ccc2c(c1)c(=O)cc(o2)c3ccc(c(c3)O)O	553.2
O=C(c1c(O)c(c(O)cc1O)[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)CO)CCc3ccc(O)c(O)c3	279.6
COc1cc(c2c(=O)cc(oc2c1)c3ccccc3)O	1133.4
COc1ccc(cc1)[C@@H]2CC(=O)c3c(cc(cc3O2)O)O	838.2
COc1ccc(cc1)c2c(c(=O)c3c(cc(cc3o2)OC)O)OC	1224.6
COc1cc(c2c(c1)OC(CC2=O)c3ccc(cc3)O)O	837
COc1cc(c2c(c1)O[C@@H](CC2=O)c3ccc(cc3)O)O	301.8
c1ccc(cc1)C2CC(=O)c3cc(ccc3O2)O	781.2
COc1cccc(c1)c2cc(=O)c3ccc(cc3o2)O	720.6
CC(C)/C=C/c1c(cc2c(c1O)c(=O)c(c(o2)c3ccc(cc3O)O)CC=C(C)C)OC	1596
COc1ccc(cc1OC)c2cc(=O)c3c(o2)cc(c(c3O)OC)O	808.2
COc1cc(cc(c1OC)OC)c2cc(=O)c3c(c(c(c(c3o2)OC)OC)OC)O	768
COc1c(cc2c(c1O)c(=O)cc(o2)c3ccc(cc3)O)O	621
COc1ccc(cc1)c2cc(=O)c3c(c(c(c(c3o2)OC)O)OC)O	882
COc1ccc(cc1)c2cc(=O)c3ccc(cc3o2)O	691.8
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2Oc3cc(c4c(c3)O[C@@H](CC4=O)c5ccc(c(c5)O)OC)O)CO)O)O)O)O)O	447
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2Oc3cc(c(c(c3)O)C(=O)CCc4ccc(c(c4)O)OC)O)CO)O)O)O)O)O	537
c1cc(ccc1c2cc(=O)c3c(o2)cc(c(c3O)O)O)O	427.8
c1cc(ccc1c2cc(=O)c3c(o2)cc(c(c3O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O	240.6
COc1cc(cc(c1OC)O)c2cc(=O)c3c(c(c(c(c3o2)OC)O)OC)O	722.4
COc1cc2c(c(=O)cc(o2)c3ccc(cc3)O)c(c1O)O	538.8
COc1cc(ccc1O)[C@H]2[C@@H](c3cc(cc(c3O2)O)[C@@H]4[C@H](C(=O)c5c(cc(cc5O4)O)O)O)CO	447
COc1cc2c(cc1O)occ(c2=O)c3ccc(cc3)O	499.2
c1ccc(cc1)c2c(c(=O)c3c(cc(cc3o2)O)O)O	868.2
C[C@]12CC[C@@H]([C@@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)CO)O[C@H]6[C@@H]([C@H]([C@H](CO6)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O	1099.2
C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@@H]([C@H]([C@H](O8)C)O)O)O)O)O)O)O)O	663
c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O	388.2
