smiles	RT
C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O	184.8
C1C(C(C(CC1(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O)O	252.6
CCC=CCC1C(CCC1=O)CC(=O)O	602.4
CCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O	808.2
CCCCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O	1018.2
CCCCCC=CC(=O)CCC1=CC(=C(C=C1)O)OC	1047.6
CCCCCCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O	1209
CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O	1369.8
CC=CC=CCC=CCCCCCCCC1=C(C(=CC=C1)O)O	1486.2
CCCC=CCC=CCCCCCCCC1=C(C(=CC=C1)O)O	1568.4
CCCCCCCCCCCCCC1=C(C(=CC=C1)O)C(=O)O	1661.4
CCCCCCC=CCCCCCCCC1=C(C(=CC=C1)O)C(=O)O	1681.8
CCCCCCC=CCCCCCCCCCC1=C(C(=CC=C1)O)C(=O)O	1798.2
C1=CC(=C(C=C1C(=O)O)O)O	127.8
C1=CC(=CC=C1C(=O)O)O	177.6
C1=CC=C(C(=C1)C(=O)O)C(=O)O	208.8
C1=CC(=C(C=C1C=CC(=O)O)O)O	212.4
COC1=C(C=CC(=C1)C(=O)O)O	214.8
C1=CC(=CC(=C1)O)C(=O)O	231.6
COC1=CC(=CC(=C1O)OC)C(=O)O	232.2
C1=CC(=CC(=C1)O)CC(=O)O	237
COC1=C(C=CC(=C1)CC(=O)O)O	238.8
C1=CC(=CC=C1C=CC(=O)O)O	280.2
COC1=C(C=CC(=C1)C=O)O	280.8
CCOC(=O)C1=CC(=C(C(=C1)O)O)O	300.6
COC1=CC(=CC(=C1O)OC)C=O	303
COC1=C(C=CC(=C1)C=CC(=O)O)O	321.6
COC1=CC(=CC(=C1O)OC)C=CC(=O)O	325.2
C1=CC(=CC(=C1)O)C=CC(=O)O	340.2
CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O	356.4
COC1=C(C=CC(=C1)C=CC=O)O	381
COC1=C(C=C(C=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O	381
C1=CC=C(C(=C1)C=CC(=O)O)O	397.8
C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O	438.6
COC1=CC(=CC(=C1OC)OC)C=CC(=O)O	513.6
C1=CC=C(C=C1)C=CC(=O)O	532.8
C1=CC=C(C=C1)C=CC=O	575.4
COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O	890.4
CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)O)CCC(C)(C)O)O)C	1011
CC1=CC(=C(C(=C1C(=O)OC2=C(C(=C(C(=C2)C)C(=O)OC)O)C)O)C=O)O	1259.4
CC(C)C(=O)C12C(=O)C(=C(C(C1=O)(CC(C2(C)CCC=C(C)C)CC=C(C)C)CC=C(C)C)O)CC=C(C)C	1748.4
COC1=CC(=O)OC(C1)C=CC2=CC=CC=C2	759.6
C1=CC(=O)OC2=CC(=C(C=C21)OC3C(C(C(C(O3)CO)O)O)O)O	156.6
COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O	220.2
COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)O	261
COC1=C(C=C2C=CC(=O)OC2=C1)O	300.6
C1=CC(=CC2=C1C=CC(=O)O2)O	308.4
COC1=C(C=C2C(=C1)C=CC(=O)O2)O	319.8
C1=CC=C2C(=C1)C(=O)C=CO2	361.8
CC(C)(C1CC2=C(O1)C=C3C(=C2OC)C(=O)C=C(O3)CO)O	364.8
CC1=CC(=O)OC2=C1C=CC(=C2)O	400.2
C1=CC=C2C(=C1)C(=CC(=O)O2)O	422.4
C1=CC=C2C(=C1)C=CC(=O)O2	427.8
COC1=C(C=C2C(=C1)C=CC(=O)O2)OC	430.8
COC1=CC2=C(C=C1)C=CC(=O)O2	513
CC(C)(C(COC1=C2C=CC(=O)OC2=CC3=C1C=CO3)O)O	513.6
CC(C)(C(COC1=C2C(=C(C3=C1OC(=O)C=C3)OC)C=CO2)O)O	536.4
C1=CC(=O)OC2=CC3=C(C=CO3)C=C21	558.6
CC1=CC(=O)C2=C(C3=C(C(=C2O1)OC)OC=C3)OC	573.6
CC1=CC(=O)C2=C(O1)C=C3C(=C2OC)C=CO3	580.2
COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2	598.8
CC1=C(C2=C(CCC(O2)(C)C(=O)O)C(=C1O)C)C	640.8
COC1=C2C=CC(=O)OC2=CC3=C1C=CO3	662.4
COC1=C2C=COC2=C(C3=C1C=CC(=O)O3)OC	666
CC1(C(O1)COC2=C3C(=CC4=C2OC=C4)C=CC(=O)O3)C	706.2
CC1(C(O1)COC2=C3C(=C(C4=C2OC(=O)C=C4)OC)C=CO3)C	764.4
CC1(C(O1)COC2=C3C=CC(=O)OC3=CC4=C2C=CO4)C	768
CC1=CC(=O)C2=C(C(=C(C=C2O1)OC)C)O	837.6
CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C	925.2
CC(=CCOC1=C2C=CC(=O)OC2=CC3=C1C=CO3)C	1011
CC(=CCOC1=C2C=CC(=O)OC2=CC3=C1C=CO3)CCC4C(O4)(C)C	1029.6
C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O	1102.2
CC(=CCCC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C)C	1261.8
CC(=CCCC(=CCOC1=C2C=CC(=O)OC2=CC3=C1C=CO3)C)C	1348.8
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O	162
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	186
C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O	214.2
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	237.6
CC(C)(C)OC(=O)N1CCC(C1N)C(=O)OCC2=CC=CC=C2	238.2
C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)C5C(C(C(C(O5)CO)O)O)O)O)O	270.6
C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O)O	279
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)OC5C(C(C(C(O5)C)O)O)O)C6=CC=C(C=C6)O)O)O)O)O)O)O	291
C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O)O	291.6
C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O	296.4
C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C=C3OC4C(C(C(C(O4)CO)O)O)O)O)O)O	297.6
CC1C(C(C(C(O1)OC2=CC=C(C=C2)C3=CC(=O)C4=C(O3)C(=C(C=C4O)O)C5C(C(C(C(O5)CO)O)O)O)O)O)O	319.8
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O)O	324.6
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O	326.4
C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O	327.6
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O)O	332.4
C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	334.8
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O	335.4
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O)O	342
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O	346.8
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O	375
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)O)O)O)O)O)O	380.4
C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O	380.4
CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O	384.6
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O	391.8
C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O	393.6
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O	394.8
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O	399
