smiles	RT
CC(=CCCC(C)(C1CCC2(C)C1C(CC1C3(C)CCC(C(C)(C)C3CCC21C)OC1C(C(C(C(CO)O1)O)O)OC1C(C(C(C(CO)O1)O)O)O)O)OC1C(C(C(C(COC2C(C(C(C(CO)O2)O)O)O)O1)O)O)O)C	955.5
CC(=CCCC(C)(C1CCC2(C)C1C(CC1C3(C)CCC(C(C)(C)C3CCC21C)OC1C(C(C(C(CO)O1)O)O)OC1C(C(C(C(CO)O1)O)O)O)O)OC1C(C(C(C(COC2C(C(C(CO)O2)O)O)O1)O)O)O)C	976.0000002
CC(=CCCC(C)(C1CCC2(C)C1C(CC1C3(C)CCC(C(C)(C)C3CCC21C)OC1C(C(C(C(CO)O1)O)O)OC1C(C(C(C(CO)O1)O)O)O)O)OC1C(C(C(C(CO)O1)O)O)O)C	1052.3
CC(CC(C(C(C)(C)O)O)O)C1=C2CC(C3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C2(C)CC1)O	1551.599
CC(CC(C1C(C)(C)O1)O)C1=C2CC(C3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C2(C)CC1)O	1797.999
CC(CC(C1C(C)(C)O1)OC(=O)C)C1=C2CC(C3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C2(C)CC1)O	1920.799
CC1(C)C(CCC23CC43CCC3(C)C(C(CC3(C)C4CC(C12)OC1C(C(C(C(CO)O1)O)O)O)O)C1(C)CCC(C(C)(C)O)O1)OC1C(C(C(CO1)O)O)O	1049.499
CC12CCC(CC1CCC1C2CCC2(C)C(CCC12O)c1ccc(=O)oc1)O	1181.899
CC(=O)OC1CC2(C3CCC4CC(CCC4(C)C3CCC2(C)C1c1ccc(=O)oc1)O)O	1066.699
CC(=CCCC(C)(C1CCC2(C)C1C(CC1C3(C)CCC(C(C)(C)C3C(CC21C)OC1C(C(C(C(CO)O1)O)O)OC1C(C(C(C(C)O1)O)O)O)O)O)OC1C(C(C(C(CO)O1)O)O)O)C	781.899
CC(=CCCC(C)(C1CCC2(C)C1C(CC1C3(C)CCC(C(C)(C)C3CCC21C)OC1C(C(C(C(CO)O1)O)O)OC1C(C(C(C(CO)O1)O)O)O)O)OC1C(C(C(C(COC2C(C(C(C(CO)O2)O)O)O)O1)O)O)O)C	953.0989998
CC(=CCCC(C)(C1CCC2(C)C1C(CC1C3(C)CCC(C(C)(C)C3CCC21C)OC1C(C(C(C(CO)O1)O)O)OC1C(C(C(C(CO)O1)O)O)O)O)OC1C(C(C(C(COC2C(C(C(CO)O2)O)O)O1)O)O)O)C	974.6989998
CC(=CCCC(C)(C1CCC2(C)C1C(CC1C3(C)CCC(C(C)(C)C3CCC21C)OC1C(C(C(C(CO)O1)O)O)OC1C(C(C(C(CO)O1)O)O)O)O)OC1C(C(C(C(CO)O1)O)O)O)C	1053.099
CC1(C)C(CCC23CC43CCC3(C)C(C(CC3(C)C4CC(C12)OC1C(C(C(C(CO)O1)O)O)O)O)C1(C)CCC(C(C)(C)O)O1)OC1C(C(C(CO1)O)O)O	1051.701
CC12CCC(CC1CCC1C2CCC2(C)C(CCC12O)c1ccc(=O)oc1)O	1182.501
CC(=O)OC1CC2(C3CCC4CC(CCC4(C)C3CCC2(C)C1c1ccc(=O)oc1)O)O	1069.701
CC(=CCCC(C)(C1CCC2(C)C1C(CC1C3(C)CCC(C(C)(C)C3C(CC21C)OC1C(C(C(C(CO)O1)O)O)OC1C(C(C(C(C)O1)O)O)O)O)O)OC1C(C(C(C(CO)O1)O)O)O)C	793.3009998
CC(=CCCC(C)(C1CCC2(C)C1C(CC1C3(C)CCC(C(C)(C)C3CCC21C)OC1C(C(C(C(CO)O1)O)O)OC1C(C(C(C(CO)O1)O)O)O)O)OC1C(C(C(C(COC2C(C(C(C(CO)O2)O)O)O)O1)O)O)O)C	956.901
CC(=CCCC(C)(C1CCC2(C)C1C(CC1C3(C)CCC(C(C)(C)C3CCC21C)OC1C(C(C(C(CO)O1)O)O)OC1C(C(C(C(CO)O1)O)O)O)O)OC1C(C(C(C(COC2C(C(C(CO)O2)O)O)O1)O)O)O)C	974.1010002
CC(=CCCC(C)(C1CCC2(C)C1C(CC1C3(C)CCC(C(C)(C)C3C(CC21C)OC1C(C(C(C(CO)O1)O)O)O)O)O)OC1C(C(C(C(CO)O1)O)O)O)C	780.699
CC1(C)C2CCC3(C)C(C(=O)C=C4C5CC(C)(CCC5(C)CCC34C)C(=O)O)C2(C)CCC1OC1C(C(C(C(C(=O)O)O1)O)O)OC1C(C(C(C(C(=O)O)O1)O)O)O	737.0989998
CC1C(C(C(C(O1)OC1CCC2(C)C(CCC3(C)C2C=CC24C5CC(C)(C)CCC5(CO4)C(CC32C)O)C1(C)CO)O)OC1C(C(C(C(CO)O1)O)O)O)O	1139.899
COc1c(cc(c2c(=O)cc(c3ccccc3)oc12)O)O	1165.899
c1ccc(cc1)c1cc(=O)c2c(cc(c(c2O)O)O)o1	981.9
c1ccc(cc1)c1cc(=O)c2c(cc(c(c2O)O)OC2C(C(C(C(C(=O)O)O2)O)O)O)o1	638.6989998
CC1C(C(C(C(OCC2C(C(C(C(Oc3cc(c4C(=O)CC(c5ccc(c(c5)O)OC)Oc4c3)O)O2)O)O)O)O1)O)O)O	726.699
CC1C(C(C(C(OCC2C(C(C(C(Oc3cc(c4C(=O)CC(c5ccc(c(c5)O)OC)Oc4c3)O)O2)O)O)O)O1)O)O)O	725.0989998
CC1C(C(C(C(O1)OC1C(C(C(CO)OC1Oc1cc(c2C(=O)CC(c3ccc(cc3)O)Oc2c1)O)O)O)O)O)O	707.499
c1cc(ccc1c1coc2c(ccc(c2C2C(C(C(C(CO)O2)O)O)O)O)c1=O)O	491.899
CC(=CCCC(C)(C1CCC2(C)C1C(CC1C3(C)CCC(C(C)(C)C3C(CC21C)OC1C(C(C(C(CO)O1)O)O)O)O)O)OC1C(C(C(C(CO)O1)O)O)O)C	780.501
CC1C(C(C(C(O1)OC1CCC2(C)C(CCC3(C)C2C=CC24C5CC(C)(C)CCC5(CO4)C(CC32C)O)C1(C)CO)O)OC1C(C(C(C(CO)O1)O)O)O)O	1136.501
COc1c(cc(c2c(=O)cc(c3ccccc3)oc12)O)O	1168.101
c1ccc(cc1)c1cc(=O)c2c(cc(c(c2O)O)OC2C(C(C(C(C(=O)O)O2)O)O)O)o1	642.501
CC1C(C(C(C(OCC2C(C(C(C(Oc3cc(c4C(=O)CC(c5ccc(c(c5)O)OC)Oc4c3)O)O2)O)O)O)O1)O)O)O	726.9010002
CC1C(C(C(C(OCC2C(C(C(C(Oc3cc(c4C(=O)CC(c5ccc(c(c5)O)OC)Oc4c3)O)O2)O)O)O)O1)O)O)O	724.9009998
