smiles	RT
C1=CC(=C(C=C1Cl)Cl)OCC(=O)O	282.6
CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C	561.6
CC(=O)NP(=O)(OC)SC	178.8
CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl	204
CSC(=O)C1=C2C(=CC=C1)N=NS2	346.2
CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl	495
CCOC(=O)CCN(CC1=CC=CC=C1)SN(C)C(=O)ON=C(C)SC	408.6
CC(C)(C=NOC(=O)NC)SC	229.8
C=CCN(CC=C)C(=O)CCl	237
CCCCCCCCC1=C(N2C(=NC=N2)N=C1CC)N	450
CCNC1=NC(=NC(=N1)SC)NC(C)C	312.6
CC1=C(C2=C(N1S(=O)(=O)C3=NN(C=N3)S(=O)(=O)N(C)C)C=C(C=C2)F)Br	465
CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C	537
CC(C)N(C1=CC=C(C=C1)Cl)C(=O)CSP(=S)(OC)OC	412.2
COC(=O)NS(=O)(=O)C1=CC=C(C=C1)N	181.8
CCNC1=NC(=NC(=N1)Cl)NC(C)C	295.8
C1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl	299.4
COP(=O)(OC)SCN1C2=C(C=C(C=N2)Cl)OC1=O	240
CN1C(=C(C=N1)C2=NN(N=N2)C)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC	288
CCOP(=S)(OCC)SCN1C(=O)C2=CC=CC=C2N=N1	375
COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1	315
COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC	320.4
CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C	249
CCOC(=O)CCN(C(C)C)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C	474
CCS(=O)(=O)OC1=CC2=C(C=C1)OCC2(C)C	301.2
COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)CC2=CC=CC=C2C(=O)OC)OC	309
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1	395.4
CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O	236.4
CC(C)C(C(=O)NC(C)C1=NC2=C(S1)C=C(C=C2)F)NC(=O)OC(C)C	354
CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2=C(C3CCC(C3)C2=O)SC4=CC=CC=C4)Cl	346.8
CCON=C(C1=C(C=CC(=C1OC)Cl)OC)OC(=O)C2=CC=CC=C2	438.6
CC(C)OC(=O)NNC1=C(C=CC(=C1)C2=CC=CC=C2)OC	363.6
COC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)Cl)Cl)[N+](=O)[O-]	444
CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)C3C(C3(C)C)C=C(C(F)(F)F)Cl	592.2
CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)C3=CC=CC=C3)O	432
C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)NC(=O)C3=C(N=CC=C3)Cl	337.8
CCC(C)N1C(=O)C(=C(NC1=O)C)Br	254.4
CC(C)(C)C(C(=O)NC(C)(C)C1=CC=CC=C1)Br	382.8
C1=C(C=C(C(=C1Br)O)Br)C#N	280.8
CCCCC1=C(N=C(N=C1OS(=O)(=O)N(C)C)NCC)C	382.8
CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2	485.4
CCCCOCN(C1=C(C=CC=C1CC)CC)C(=O)CCl	494.4
CC(C)(C(=O)OCC=C)OC(=O)C1=C(C=CC(=C1)N2C(=O)C=C(N(C2=O)C)C(F)(F)F)Cl	367.8
CC(C(=NOC(=O)NC)C)SC	226.8
CCC(C)SP(=O)(OCC)SC(C)CC	450
CCN(CC)C(=O)N1C=NC(=N1)S(=O)(=O)C2=C(C=C(C=C2C)C)C	357.6
CNC(=O)OC1=CC=CC2=CC=CC=C21	262.2
COC(=O)NC1=NC2=CC=CC=C2N1	195.6
CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C	251.4
CCOP(=S)(OCC)SCSC1=CC=C(C=C1)Cl	517.8
CCCCN(CCCC)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C	574.2
CC1=C(SCCO1)C(=O)NC2=CC=CC=C2	264
CCOC(=O)C(CC1=CC(=C(C=C1Cl)F)N2C(=O)N(C(=N2)C)C(F)F)Cl	405
CCC1(C(C1(Cl)Cl)C)C(=O)NC(C)C2=CC=C(C=C2)Cl	417.6
CN(C)C(CSC(=O)N)CSC(=O)N	408.6
CC1=CC2=C(C=C1)N=C3C(=N2)SC(=O)S3	480
CC1=CC(=CC(=C1NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br)C(=O)NC)Cl	306
CCOP(=O)(OCC)OC(=CCl)C1=C(C=C(C=C1)Cl)Cl	420
C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)Cl)F	534.6
C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)N)Cl	210
CCOC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)Cl)OC	343.2
CC1=C(C=C(C=C1)NC(=O)N(C)C)Cl	281.4
CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl	506.4
COP(=S)(OC)OC1=NC(=C(C=C1Cl)Cl)Cl	450.6
CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2Cl	256.2
CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C3=C(C=C2)OCCC3)C)C	371.4
CC1=CC=CC=C1COC2CC3(CCC2(O3)C)C(C)C	491.4
CCC(=NOCC=CCl)C1=C(CC(CC1=O)CC(C)SCC)O	467.4
C1=CC=C(C(=C1)C2=NN=C(N=N2)C3=CC=CC=C3Cl)Cl	440.4
CC1(CON(C1=O)CC2=CC=CC=C2Cl)C	319.2
CC1=C(C=CC(=C1Cl)OC(C)C(=O)NC2=CC=CC=C2)Cl	482.4
CNC(=N[N+](=O)[O-])NCC1=CN=C(S1)Cl	199.2
CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N	238.8
CC1=CC=C(C=C1)C2=C(N=C(N2S(=O)(=O)N(C)C)C#N)Cl	379.8
CCN(C1CCCCC1)C(=O)SCC	453.6
CCOC1=CC=C(C=C1)C2(CC2(Cl)Cl)C(=O)OC(C#N)C3=CC(=CC=C3)OC4=CC=CC=C4	528
COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)NC2=CC=CC=C2C(=O)C3CC3)OC	364.8
